"","Ele","Temperature","mean_SVL","sd_svl","se_svl","mean_BM","sd_bm","se_bm","mean_Time","sd_time","se_time"
"1","2600m",20,5.78888888888889,0.57106138996706,0.190353796655687,6.08555555555556,1.82881184865414,0.60960394955138,145.383333322222,19.8241522820299,0.60960394955138
"2","2600m",25,5.81111111111111,0.671648055986996,0.223882685328999,6.33666666666667,1.95239596393764,0.650798654645881,89.7074074033333,27.4625782109172,0.650798654645881
"3","2600m",30,6,0.756637297521078,0.252212432507026,7.01777777777778,2.31263257878212,0.770877526260707,40.4018518522222,9.5077031807716,0.770877526260707
"4","2600m",35,6.11111111111111,0.650854139658888,0.216951379886296,6.75777777777778,1.90062343572956,0.633541145243187,27.9129629622222,6.76305208280466,0.633541145243187
"5","2600m",40,5.74444444444444,0.761759658801763,0.253919886267254,6.80222222222222,2.61893479194203,0.872978263980677,53.0444444444444,13.1244153321136,0.872978263980677
"6","3400m",20,5.29,0.425440947723653,0.134536240470737,5.541,1.46894103958524,0.464519943358493,146.813333323,26.8258061677543,0.464519943358493
"7","3400m",25,5.3375,0.373927036427467,0.132203171563426,5.4775,1.46667505408857,0.518547938271588,100.775000005,23.9811450422632,0.518547938271588
"8","3400m",30,5.44444444444444,0.466666666666667,0.155555555555556,6.02333333333333,1.55564295389398,0.518547651297995,47.1407407411111,14.583940728823,0.518547651297995
"9","3400m",35,5.69,0.284604989415154,0.09,5.888,1.60589054559906,0.507827179702351,25.413329444,6.28663552825197,0.507827179702351
"10","3400m",40,5.73333333333333,0.393700393700591,0.131233464566864,5.79777777777778,1.03707253576808,0.345690845256028,61.8296296311111,19.9099235064828,0.345690845256028
"11","4200m",20,5.2625,0.66962142822856,0.236746926364118,6.2925,2.43706351403253,0.861632068477359,136.01041657875,30.2095379160467,0.861632068477359
"12","4200m",25,4.98333333333333,0.897589364167528,0.366439323459939,5.185,3.12169024728592,1.27442470681219,80.2916666683333,10.7086296988939,1.27442470681219
"13","4200m",30,5.28333333333333,0.788458411500992,0.321886798597133,5.36833333333333,2.20997209635476,0.902217330309672,48.0277777766667,14.1101486963837,0.902217330309672
"14","4200m",35,5.36666666666667,0.581950742474538,0.237580395749406,6.35,2.7154152536951,1.10856363522052,50.2166666683333,20.8784577968425,1.10856363522052
"15","4200m",40,5.4,0.360555127546399,0.136277028773849,6.33142857142857,2.4308944072188,0.91879172356553,58.1071428571429,14.7047134567157,0.91879172356553
